ADMIN_NAME,ADMIN2_ID,Cattle,Horses,Pigs,Lambs,Goats,Poultry
Avon,A69,1.55,1.61,0.44,0.5,0.01,0.55
Bedfordshire,A57,0.24,0.7,0.43,0.24,0.17,0.65
Berkshire,A70,0.44,1.57,0.41,0.33,0.47,0.15
Buckinghamshire,A58,1.24,2.22,0.53,1.15,0.78,1.32
Cambridgeshire,A51,0.47,1.89,0.6,0.25,1.02,1.6
Cheshire,A43,4.21,2.48,0.86,1.14,1.13,1.4
Cleveland,A23,0.12,0.31,0.23,0.08,0.01,0.52
Cornwall,A102,6.07,3.23,1.17,3.23,1.67,0.86
Cumbria,A285,8.33,2.36,1.27,13.47,2.04,2.49
Derbyshire,A41,3.24,2.31,1.25,2.59,1.23,1.19
Devonshire,A83,10.61,6.18,2.39,9.11,3.96,4.85
Dorsetshire,A93,3.2,2.32,1.89,1.25,16.87,1.45
Durham,A18,1.57,1.83,0.57,3.43,0.64,0.93
East Sussex,A89,0.9,2.01,0.18,1.54,1.8,0.45
Essex,A66,0.49,2.41,1.25,0.3,1.11,2.02
Gloucestershire,A60,2.27,2.93,0.64,1.96,6.63,2.11
Grtr. London,A68,0.03,0.7,0.01,0.03,0.22,0.01
Grtr. Manchester,A38,0.44,1.96,0.2,0.36,0.24,0.55
Hampshire,A105,1.33,4.7,1.41,0.8,1.38,1.84
Herefordshire,A56,2.27,1.33,0.66,4.04,2.27,6.97
Hertfordshire,A61,0.26,1.98,0.26,0.21,0.46,0.3
Humberside,A35,1.08,1.14,12.45,0.68,8.91,2.51
Isle of Wight,A110,0.27,0.39,0.02,0.26,0.07,0.03
Kent,A75,1.08,2.6,0.41,2.09,2.58,1.94
Lancashire,A290,3.93,2.8,1.48,4.53,6.46,2.5
Leicestershire,A49,2.16,2.31,1.62,1.98,2.14,1.28
Lincolnshire,A40,1.75,1.77,6.18,1.03,0.88,14.77
Merseyside,A37,0.13,0.55,0.09,0.06,0.03,0.01
Norfolkshire,A48,1.58,1.76,14.64,0.74,0.95,11.55
North Yorkshire,A30,6.93,4.09,17.17,11.64,11.13,4.92
Northamptonshire,A54,1.23,1.78,0.48,1.9,0.28,2.16
Northumberland,A8,2.74,1.63,0.51,9,0.25,0.31
Nottinghamshire,A42,0.88,1.38,2.03,0.45,3.11,2.99
Oxfordshire,A59,1.19,2.31,1.85,1.03,3.08,1.19
Shropshire,A47,4.72,2.63,1.76,4.99,1.47,5.2
Somersetshire,A78,5.58,3.22,2.4,3.1,3.65,3.12
South Yorkshire,A39,0.69,1.29,1.36,0.52,0.33,0.13
Staffordshire,A46,4.21,2.58,1.54,1.72,6.99,0.96
Suffolk,A55,0.71,2.08,11.37,0.43,0.46,6.49
Surrey,A74,0.54,2.16,0.3,0.37,0.45,0.08
Tyne and Wear,A13,0.13,0.47,0.07,0.01,0.04,0.01
Warwickshire,A52,1.14,1.9,0.77,1.88,0.51,0.95
West Midlands,A53,1.31,2.42,0.52,2,0.8,0.64
West Sussex,A86,0.91,2.6,0.52,0.65,0.38,0.41
West Yorkshire,A36,1.49,2.5,1.51,1.33,0.72,0.57
Wiltshire,A67,2.83,3,1.85,1.13,0.26,2.5
