spectype,name,Y,X,type,typeall,color,1951
College,Central Oregon Community College,-121.1658584,44.25685254,Education,All,#000,30
Library,Deschutes Public Library Redmond Branch,-121.1769605,44.2741479,Education,All,#000,30
School,John Tuck School,-121.1795232,44.27805732,Education,All,#000,30
School,Hugh Hartman Middle School,-121.1904604,44.27730787,Education,All,#000,30
School,Redmond High School,-121.1912313,44.27063052,Education,All,#000,30
School,Obsidian Middle School,-121.1825772,44.26281528,Education,All,#000,30
School,Edwin Brown School,-121.1769363,44.2759842,Education,All,#000,30
School,Evergreen School,-121.1785897,44.27300174,Education,All,#000,30
School,M.A. Lynch,-121.1825209,44.26620014,Education,All,#000,30
School,Vern Patrick,-121.2028767,44.2627598,Education,All,#000,30
Facility,Chamber of Commerce,-121.1749259,44.27284428,Facilities,All,#984ea3,30
Facility,Cascade Swim Center,-121.1898644,44.27320276,Facilities,All,#984ea3,30
Facility,Humane Society,-121.1573521,44.26123263,Facilities,All,#984ea3,30
Facility,Opportunity Center of Central Oregon,-121.1600411,44.27059368,Facilities,All,#984ea3,30
Facility,Post Office,-121.1748678,44.28323833,Facilities,All,#984ea3,30
Facility,Deschutes County Fairgrounds,-121.1842223,44.23655307,Facilities,All,#984ea3,30
Public,City Hall,-121.1757729,44.27228195,Facilities,All,#984ea3,30
Public,Public Works Complex,-121.1591631,44.26181518,Facilities,All,#984ea3,30
Fire Station,Airport Fire Station,-121.1592289,44.25484419,FireStation,All,#e41a1c,30
Fire Station,Redmond Fire Station #1,-121.1721688,44.27952888,FireStation,All,#e41a1c,30
Hospital,Saint Charles Medical Center Redmond,-121.169657,44.28826373,Hospital,All,#ff7f00,30
Police,Police Station,-121.1757943,44.27389367,PoliceStation,All,#377eb8,30
BLM,Redmond Caves,-121.178902,44.24856551,Recreation,All,#4daf4a,30
Golf Course,The Greens Golf Club,-121.2019519,44.23830415,Recreation,All,#4daf4a,30
Golf Course,Juniper Golf Club,-121.1667709,44.26312607,Recreation,All,#4daf4a,30
Golf Course,Missing Link Golf Course,-121.1498227,44.29207686,Recreation,All,#4daf4a,30
Park,Quince Park,-121.1801831,44.29867788,Recreation,All,#4daf4a,30
Park,Spudbowl Park,-121.1832925,44.27519244,Recreation,All,#4daf4a,30
Park,Kiwanis Field,-121.1850518,44.27493891,Recreation,All,#4daf4a,30
Park,Sam Johnson Park,-121.185833,44.27344952,Recreation,All,#4daf4a,30
Park,Bowlby Park,-121.188899,44.27044282,Recreation,All,#4daf4a,30
Park,Kalama Park,-121.1855987,44.26651099,Recreation,All,#4daf4a,30
Park,Fireman's Lake,-121.1707847,44.26673655,Recreation,All,#4daf4a,30
Park,Baker Park,-121.1858912,44.2615482,Recreation,All,#4daf4a,30
Park,Valleyview Park,-121.211536,44.25102602,Recreation,All,#4daf4a,30
Park,Hayden Park,-121.2087162,44.25777093,Recreation,All,#4daf4a,30
Park,Umatilla Sports Complex,-121.2034461,44.25067899,Recreation,All,#4daf4a,30
Park,West Canyon Rim Park,-121.1820678,44.28570606,Recreation,All,#4daf4a,30
Park,Fairhaven Park,-121.1952654,44.27766249,Recreation,All,#4daf4a,30
Park,High Desert Sports Complex,-121.1442495,44.2914869,Recreation,All,#4daf4a,30
Park,Skate Park,-121.1847772,44.27604493,Recreation,All,#4daf4a,30
Park,Diamond Bar Park,0,0,Recreation,All,#4daf4a,30
Park,Stack Park,0,0,Recreation,All,#4daf4a,30
Park,American Legion Park,0,0,Recreation,All,#4daf4a,30
Trailhead,Dry Canyon - North,-121.1909449,44.30232834,Recreation,All,#4daf4a,30
Trailhead,Poplar Ave,-121.1885515,44.29643848,Recreation,All,#4daf4a,30
Trailhead,West Canyon Park,-121.1829983,44.28576648,Recreation,All,#4daf4a,30
Trailhead,Fir Avenue,-121.1801967,44.2810218,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Evergreen Ave,-121.184073,44.2728774,Recreation,All,#4daf4a,30
Trailhead,Dry Canyon - North,-121.1909449,44.30232834,Recreation,All,#4daf4a,30
